id,price
54273,28396.145
54274,25939.738
54275,36782.855
54276,46657.176
54277,38622.645
54278,66207.83
54279,41904.97
54280,36485.08
54281,19805.195
54282,52863.88
54283,35527.918
54284,22768.154
54285,34108.82
54286,44100.566
54287,60439.957
54288,75025.37
54289,78170.984
54290,24719.979
54291,19370.012
54292,69593.91
54293,37994.88
54294,21092.092
54295,49550.68
54296,78170.984
54297,26105.764
54298,26260.443
54299,25764.842
54300,40631.77
54301,61126.242
54302,50404.945
54303,53779.07
54304,51125.844
54305,62390.773
54306,32676.904
54307,31127.76
54308,19109.463
54309,26020.406
54310,22115.914
54311,62390.773
54312,22732.582
54313,28761.184
54314,61126.242
54315,70600.555
54316,27795.387
54317,31015.738
54318,57068.938
54319,20436.43
54320,60691.223
54321,57914.633
54322,21971.3
54323,39482.547
54324,50404.945
54325,69791.43
54326,24845.627
54327,68895.734
54328,25407.676
54329,35487.85
54330,27816.553
54331,56301.395
54332,23886.797
54333,58263.43
54334,47685.59
54335,31654.111
54336,29563.607
54337,18964.75
54338,52158.082
54339,71920.0
54340,20892.154
54341,83288.35
54342,39547.656
54343,33552.48
54344,70710.164
54345,23232.162
54346,55619.793
54347,19809.453
54348,39065.01
54349,30123.32
54350,78170.984
54351,38637.316
54352,43923.188
54353,68331.19
54354,41047.645
54355,22115.914
54356,55010.758
54357,55159.043
54358,61756.668
54359,20750.754
54360,39404.195
54361,54016.99
54362,71759.15
54363,70315.36
54364,29693.531
54365,23232.162
54366,49591.56
54367,33072.324
54368,28794.654
54369,27653.984
54370,22285.695
54371,36855.64
54372,29962.377
54373,52652.484
54374,28422.363
54375,62801.188
54376,29133.83
54377,44100.566
54378,31202.488
54379,28629.213
54380,18451.99
54381,96413.516
54382,20574.893
54383,60439.957
54384,28396.145
54385,27513.275
54386,21867.002
54387,18274.443
54388,78170.984
54389,20750.754
54390,66448.305
54391,19936.713
54392,71322.09
54393,44213.05
54394,22227.426
54395,37542.496
54396,70061.69
54397,42238.53
54398,34522.41
54399,54000.934
54400,64414.266
54401,46069.125
54402,27796.285
54403,58101.535
54404,25465.361
54405,22285.695
54406,67443.71
54407,20750.754
54408,62519.27
54409,20787.855
54410,48205.805
54411,22472.879
54412,41522.098
54413,55632.03
54414,36848.168
54415,23416.35
54416,63007.953
54417,25432.238
54418,18939.615
54419,22652.672
54420,55355.637
54421,22153.018
54422,45651.246
54423,26374.2
54424,36635.414
54425,21178.21
54426,21616.334
54427,20976.186
54428,19012.863
54429,19213.271
54430,19712.854
54431,18504.432
54432,20443.639
54433,63092.113
54434,50529.33
54435,29079.115
54436,54496.062
54437,20474.627
54438,62490.016
54439,42274.3
54440,45651.246
54441,33568.496
54442,41246.43
54443,45966.754
54444,23328.762
54445,43452.113
54446,30536.168
54447,39225.05
54448,32826.203
54449,21092.092
54450,37197.914
54451,18689.03
54452,21092.092
54453,26735.564
54454,39547.656
54455,18451.99
54456,36717.984
54457,47689.566
54458,21952.2
54459,41281.03
54460,60065.617
54461,18451.99
54462,41523.42
54463,71023.055
54464,26787.041
54465,37503.72
54466,46076.64
54467,44183.15
54468,23143.93
54469,34115.21
54470,23543.002
54471,47026.367
54472,38609.75
54473,25053.309
54474,63123.395
54475,42556.984
54476,28720.988
54477,36892.734
54478,39665.527
54479,33328.6
54480,19720.064
54481,20787.855
54482,34963.008
54483,55853.83
54484,22426.754
54485,32601.578
54486,29886.234
54487,51788.676
54488,20750.754
54489,24305.465
54490,27653.984
54491,19712.854
54492,42944.47
54493,78170.984
54494,24881.762
54495,45459.023
54496,28545.111
54497,50875.438
54498,47230.42
54499,31373.258
54500,40554.367
54501,23543.002
54502,27384.434
54503,53774.39
54504,29781.975
54505,27742.93
54506,41438.645
54507,61274.527
54508,31373.258
54509,21867.002
54510,49028.074
54511,38366.3
54512,45505.473
54513,28794.654
54514,28624.568
54515,18274.443
54516,35535.13
54517,21867.002
54518,43930.426
54519,34945.36
54520,21867.002
54521,40926.637
54522,47155.684
54523,44955.09
54524,38167.93
54525,27073.592
54526,70561.87
54527,109189.0
54528,40778.402
54529,45505.473
54530,21147.223
54531,32420.49
54532,87736.98
54533,20750.754
54534,22029.57
54535,70061.69
54536,20750.754
54537,54895.316
54538,31999.537
54539,26976.992
54540,19012.863
54541,27795.387
54542,85040.445
54543,23747.395
54544,32770.36
54545,18347.691
54546,27795.387
54547,29994.77
54548,822916.06
54549,26915.596
54550,25199.008
54551,20378.027
54552,45505.473
54553,47413.082
54554,25835.44
54555,49759.19
54556,43103.996
54557,18274.443
54558,63345.3
54559,36284.906
54560,19175.432
54561,34254.113
54562,63352.133
54563,18964.75
54564,18891.502
54565,38637.316
54566,23232.162
54567,59373.133
54568,37161.05
54569,18504.432
54570,39297.68
54571,55037.867
54572,61608.383
54573,27581.908
54574,62991.43
54575,61010.8
54576,18347.691
54577,35601.74
54578,23884.402
54579,56085.9
54580,23232.162
54581,22484.062
54582,43116.24
54583,54934.98
54584,59621.992
54585,45505.473
54586,30530.66
54587,68823.484
54588,38748.277
54589,38414.605
54590,44100.566
54591,21512.035
54592,25897.842
54593,32072.318
54594,76663.24
54595,42397.277
54596,29634.152
54597,42287.016
54598,27795.387
54599,72063.04
54600,20913.322
54601,59323.71
54602,48398.84
54603,62790.125
54604,39209.16
54605,21674.604
54606,19882.633
54607,44330.445
54608,54819.54
54609,53980.125
54610,19108.973
54611,29161.137
54612,30326.61
54613,29563.607
54614,20750.754
54615,20950.424
54616,28284.805
54617,62696.848
54618,51189.105
54619,18939.615
54620,19639.605
54621,22115.914
54622,27742.93
54623,50480.723
54624,29251.047
54625,28767.904
54626,36081.668
54627,36697.676
54628,28794.654
54629,38980.535
54630,23543.002
54631,48267.008
54632,66058.15
54633,19265.713
54634,87447.48
54635,51030.598
54636,19012.863
54637,36224.918
54638,55037.867
54639,35753.203
54640,38303.066
54641,27381.275
54642,34294.97
54643,34925.914
54644,22115.914
54645,55754.555
54646,50406.8
54647,22463.855
54648,22426.754
54649,45706.832
54650,78477.67
54651,19012.863
54652,20750.754
54653,45505.473
54654,57984.305
54655,42694.51
54656,22285.695
54657,42541.395
54658,70446.42
54659,25835.44
54660,62242.49
54661,23379.246
54662,23232.162
54663,25627.115
54664,33801.35
54665,28234.152
54666,46151.27
54667,39664.168
54668,32866.96
54669,77395.055
54670,42494.48
54671,33537.445
54672,45229.99
54673,38231.29
54674,24902.934
54675,23085.607
54676,18347.691
54677,70802.26
54678,87867.57
54679,36502.67
54680,22484.062
54681,78170.984
54682,33780.81
54683,43325.05
54684,23459.457
54685,50500.82
54686,24320.791
54687,20750.754
54688,39828.008
54689,22153.018
54690,70810.63
54691,28466.97
54692,34917.598
54693,25916.107
54694,33980.895
54695,30472.412
54696,19639.605
54697,70710.164
54698,57984.305
54699,70446.42
54700,73755.555
54701,59323.71
54702,25034.777
54703,40372.0
54704,28046.021
54705,18510.26
54706,41207.863
54707,62390.773
54708,43523.312
54709,41901.527
54710,60899.48
54711,60326.63
54712,21971.3
54713,22029.57
54714,53716.17
54715,39078.707
54716,49504.68
54717,25281.982
54718,22153.018
54719,26292.945
54720,37964.414
54721,37627.242
54722,18939.615
54723,55159.043
54724,19869.594
54725,40911.395
54726,62938.41
54727,29994.77
54728,19012.863
54729,19824.363
54730,36939.26
54731,18939.615
54732,53447.258
54733,21512.035
54734,26230.55
54735,36946.26
54736,21287.025
54737,19175.432
54738,44076.19
54739,29337.037
54740,19354.201
54741,31337.887
54742,18347.691
54743,45608.36
54744,26638.965
54745,38122.258
54746,33801.35
54747,40177.082
54748,19857.22
54749,20855.053
54750,49541.773
54751,53568.277
54752,33801.35
54753,20892.154
54754,23343.674
54755,25708.7
54756,22067.9
54757,23704.023
54758,21867.002
54759,20688.867
54760,21867.002
54761,21549.137
54762,37702.297
54763,20750.754
54764,70812.96
54765,54818.555
